date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:37	463/463	---M--	200	added ('OK')	image/svg+xml	etag:%22cc00bdf38155423bc4b584fe5c4d8737-ssl%22	https://yuta-abe.com/assets/img/icon-fb.svg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/icon-fb.svg	(from https://yuta-abe.com/)
00:19:38	1312/1312	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b8364b9bba1c8d710c2b1d65eaa816c6-ssl-df%22	https://yuta-abe.com/assets/img/icon-github.svg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/icon-github.svg	(from https://yuta-abe.com/)
00:19:38	64374/64374	---M--	200	added ('OK')	image/png	etag:%2284bc543039fb35782430c60c8a732fe5-ssl%22	https://yuta-abe.com/assets/img/projects/gig/img_sp.png	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/gig/img_sp.png	(from https://yuta-abe.com/)
00:19:39	169623/169623	---M--	200	added ('OK')	image/jpeg	etag:%2297337db737abeec5f204a18d90e2889c-ssl%22	https://yuta-abe.com/assets/img/projects/kyotorism/pict2.jpg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/kyotorism/pict2.jpg	(from https://yuta-abe.com/)
00:19:39	9287/9287	---MCZ	200	added ('OK')	application/javascript	etag:%22dacbda1ede4ef9ea7d08d37135dccc1a-ssl-df%22	https://yuta-abe.com/_nuxt/6200d65538570b5f82a1.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/6200d65538570b5f82a1.js	(from https://yuta-abe.com/about/)
00:19:40	29105/29105	---M--	200	added ('OK')	image/jpeg	etag:%226331f3ef6995a1a2f7ca23ae1107fa57-ssl%22	https://yuta-abe.com/assets/img/profile2.jpg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/profile2.jpg	(from https://yuta-abe.com/about/)
00:19:41	1784/1784	---MCZ	200	added ('OK')	image/svg+xml	etag:%229161f978113bf844f674d6a3b015529a-ssl-df%22	https://yuta-abe.com/assets/img/icon-instagram.svg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/icon-instagram.svg	(from https://yuta-abe.com/about/)
00:19:41	16789/16789	---MCZ	200	added ('OK')	application/javascript	etag:%22414200c1102daa34be552a44411fb449-ssl-df%22	https://yuta-abe.com/_nuxt/bbabfbd2cfaca854d277.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/bbabfbd2cfaca854d277.js	(from https://yuta-abe.com/projects/gig/)
00:19:41	1643/1643	---M--	200	added ('OK')	image/png	etag:%22123f1aa624467235df1954876bc537bc-ssl%22	https://yuta-abe.com/assets/img/icon-blank.png	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/icon-blank.png	(from https://yuta-abe.com/projects/gig/)
00:19:42	84473/84473	---M--	200	added ('OK')	image/png	etag:%22310e15b4188855047907e60085439c9d-ssl%22	https://yuta-abe.com/assets/img/projects/gig/img_pc.png	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/gig/img_pc.png	(from https://yuta-abe.com/projects/gig/)
